,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR
0,DerrickLewis,260,79,36,2.59,2.16,0.52,0.0,50,44,26,54,25,7,CirylGane,245,81,31,5.13,2.6,0.82,0.3,54,63,21,0,9,0,0,0,1
1,JoseAldo,135,70,35,3.45,3.52,0.57,0.1,45,61,56,91,29,7,PedroMunhoz,135,65,35,5.6,5.87,0.68,0.8,43,58,21,80,19,5,1,0,0
2,MichaelChiesa,170,75,34,1.89,1.71,3.6,0.9,40,54,52,68,18,4,VicenteLuque,170,11,30,5.74,5.78,0.66,0.9,54,52,50,65,20,7,0,1,0
3,TeciaTorres,115,60,32,4.3,3.37,0.68,0.1,47,62,15,56,12,5,AngelaHill,115,64,36,5.66,4.98,0.45,0.1,50,64,36,76,13,9,-2,0,0
4,SongYadong,135,67,24,4.35,3.64,0.59,0.4,42,57,75,56,16,5,CaseyKenney,135,68,30,4.81,4.3,1.1,0.5,42,59,39,59,16,3,1,0,0
5,BobbyGreen,155,10,35,5.17,3.32,1.56,0.3,51,63,41,72,27,11,RafaelFiziev,155,71,28,4.67,4.17,0.84,0.0,57,55,50,0,9,1,0,0,0
6,VinceMorales,145,70,31,4.22,4.16,0.0,0.0,39,53,0,55,9,5,DrakoRodriguez,135,69,25,2.57,2.57,2.75,2.8,35,26,0,0,7,2,1,0,0
7,AlonzoMenifield,205,76,34,3.31,3.6,0.39,0.4,48,46,14,85,10,2,EdHerman,205,77,41,3.32,3.35,2.21,1.2,49,43,48,60,27,14,1,0,0
8,KarolinaKowalkiewicz,115,64,36,5.27,5.65,0.1,0.1,39,56,12,75,12,6,JessicaPenne,115,67,38,2.4,4.45,1.5,0.6,33,48,23,42,13,6,-2,0,0
9,ManelKape,125,68,28,3.67,4.3,1.0,0.0,45,48,28,80,15,6,OdeOsbourne,145,73,29,4.3,3.04,1.9,1.9,54,42,0,66,9,3,1,0,1
10,MilesJohns,135,66,27,3.33,2.42,1.21,0.0,48,68,30,87,11,1,AndersonDosSantos,135,70,36,2.66,4.8,1.3,0.9,28,55,18,66,21,8,1,0,1
11,VictoriaLeonardo,125,64,31,3.4,4.15,2.39,0.0,37,47,37,0,8,4,MelissaGatto,135,59,25,0.0,0.0,0.0,0.0,0,0,0,0,6,0,-2,0,0
